time	V(a)	V(b)	V(out)
4.055768920820648e-004	9.874754e+000	4.927784e+000	3.009321e+000
4.075300170820648e-004	1.042273e+001	5.200408e+000	3.009321e+000
4.085065795820648e-004	1.068313e+001	5.329962e+000	3.009321e+000
4.094831420820648e-004	1.093316e+001	5.454354e+000	3.009321e+000
4.104597045820648e-004	1.117187e+001	5.573117e+000	3.009321e+000
4.114362670820648e-004	1.139837e+001	5.685805e+000	3.009321e+000
4.124128295820648e-004	1.161181e+001	5.791993e+000	3.009321e+000
4.133893920820648e-004	1.181139e+001	5.891283e+000	3.009321e+000
4.143659545820648e-004	1.199634e+001	5.983301e+000	3.009321e+000
4.153425170820648e-004	1.216599e+001	6.067701e+000	3.009321e+000
4.163190795820648e-004	1.231968e+001	6.144166e+000	3.009321e+000
4.172956420820648e-004	1.245685e+001	6.212409e+000	3.009321e+000
4.182722045820648e-004	1.257697e+001	6.272173e+000	3.009321e+000
4.192487670820648e-004	1.267961e+001	6.323233e+000	3.009321e+000
4.202253295820648e-004	1.276436e+001	6.365398e+000	3.009321e+000
4.212018920820648e-004	1.283091e+001	6.398510e+000	3.009321e+000
4.221784545820648e-004	1.287902e+001	6.422443e+000	3.009321e+000
4.231550170820648e-004	1.290850e+001	6.437110e+000	3.009321e+000
4.241315795820648e-004	1.291924e+001	6.442454e+000	3.009321e+000
4.251081420820648e-004	1.291120e+001	6.438457e+000	3.009321e+000
4.260847045820648e-004	1.288442e+001	6.425132e+000	3.009321e+000
4.270612670820648e-004	1.283899e+001	6.402531e+000	3.009321e+000
4.280378295820648e-004	1.277509e+001	6.370740e+000	3.009321e+000
4.290143920820648e-004	1.269296e+001	6.329879e+000	3.009321e+000
4.299909545820648e-004	1.259291e+001	6.280101e+000	3.009321e+000
4.309675170820648e-004	1.247531e+001	6.221594e+000	3.009321e+000
4.319440795820648e-004	1.234061e+001	6.154579e+000	3.009321e+000
4.329206420820648e-004	1.218932e+001	6.079309e+000	3.009321e+000
4.338972045820648e-004	1.202200e+001	5.996068e+000	3.009321e+000
4.348737670820648e-004	1.183929e+001	5.905168e+000	3.009321e+000
4.358503295820648e-004	1.164188e+001	5.806952e+000	3.009321e+000
4.368268920820648e-004	1.143051e+001	5.701791e+000	3.009321e+000
4.378034545820648e-004	1.120597e+001	5.590081e+000	3.009321e+000
4.387800170820648e-004	1.096911e+001	5.472242e+000	3.009321e+000
4.397565795820648e-004	1.072083e+001	5.348719e+000	3.009321e+000
4.407331420820648e-004	1.046206e+001	5.219975e+000	3.009321e+000
4.426862670820648e-004	9.916974e+000	4.948790e+000	3.009321e+000
4.446393920820648e-004	9.342065e+000	4.662766e+000	3.009321e+000
4.465925170820648e-004	8.745985e+000	4.366208e+000	3.009321e+000
4.485456420820648e-004	8.137704e+000	4.063581e+000	3.009321e+000
4.504987670820648e-004	7.526379e+000	3.759439e+000	3.009321e+000
4.524518920820648e-004	6.921209e+000	3.458359e+000	3.009321e+000
4.534284545820648e-004	6.623786e+000	3.310388e+000	3.009321e+000
4.544050170820648e-004	6.331302e+000	3.164873e+000	3.009321e+000
4.553815795820648e-004	6.044860e+000	3.022206e+000	2.977427e+000
4.563581420820648e-004	5.765537e+000	2.882753e+000	2.879714e+000
4.573347045820648e-004	5.494385e+000	2.747192e+000	2.747192e+000
4.592878295820648e-004	4.980642e+000	2.490321e+000	2.490321e+000
4.612409545820648e-004	4.511366e+000	2.255683e+000	2.255683e+000
4.631940795820648e-004	4.093620e+000	2.046810e+000	2.046810e+000
4.651472045820648e-004	3.733694e+000	1.866847e+000	1.866847e+000
4.671003295820648e-004	3.437006e+000	1.718503e+000	1.718503e+000
4.680768920820648e-004	3.313812e+000	1.656906e+000	1.656906e+000
4.690534545820648e-004	3.208026e+000	1.604013e+000	1.604013e+000
4.700300170820649e-004	3.120045e+000	1.560022e+000	1.560023e+000
4.710065795820649e-004	3.050202e+000	1.525101e+000	1.525101e+000
4.719831420820649e-004	2.998761e+000	1.499380e+000	1.499380e+000
4.729597045820649e-004	2.965915e+000	1.482957e+000	1.482958e+000
4.739362670820649e-004	2.951789e+000	1.475895e+000	1.475895e+000
4.749128295820649e-004	2.956438e+000	1.478219e+000	1.478219e+000
4.758893920820649e-004	2.979843e+000	1.489922e+000	1.489922e+000
4.768659545820649e-004	3.021918e+000	1.510959e+000	1.510959e+000
4.778425170820649e-004	3.082506e+000	1.541253e+000	1.541253e+000
4.788190795820649e-004	3.161378e+000	1.580689e+000	1.580689e+000
